dj_pts,dj_rank,opp_pts,opp_rank,dj_win,age,is_outdoor,is_five_sets,5SMA,ATP250,ATP500,Grand Slam,International,International Gold,Masters,Masters 1000,Masters Cup,Carpet,Clay,Grass,Hard,1st Round,2nd Round,3rd Round,4th Round,Quarterfinals,Round Robin,Semifinals,The Final
7240,1,672,87,1,36,1,0,0.8,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
7240,1,744,70,0,36,1,0,0.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6775,1,826,61,1,36,1,0,0.6,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
6775,1,1125,33,1,36,1,0,0.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
6775,1,2680,13,1,36,1,0,0.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
6775,1,3865,7,0,36,1,0,0.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
5955,3,545,114,1,36,1,1,0.8,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5955,3,720,83,1,36,1,1,0.6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
5955,3,1115,34,1,36,1,1,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5955,3,661,94,1,36,1,1,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5955,3,2945,11,1,36,1,1,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5955,3,6815,1,1,36,1,1,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5955,3,4960,4,1,36,1,1,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7595,2,772,68,1,36,1,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7595,2,769,70,1,36,1,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
7595,2,674,88,1,36,1,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
7595,2,2060,18,1,36,1,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7595,2,4255,7,1,36,1,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7595,2,3345,8,1,36,1,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7595,2,7675,1,0,36,1,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8795,2,297,211,1,36,1,0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
8795,2,3605,9,1,36,1,0,0.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
8795,2,2310,17,1,36,1,0,0.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
8795,2,9395,1,1,36,1,0,0.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
9795,2,697,84,1,36,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
9795,2,776,76,1,36,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
9795,2,1110,38,1,36,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
9795,2,559,105,1,36,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
9795,2,3605,9,1,36,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
9795,2,1015,47,1,36,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9795,2,6260,3,1,36,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11045,1,1380,31,1,36,0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
11045,1,1570,23,1,36,0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
11045,1,4280,7,1,36,0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
11045,1,4935,5,1,36,0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
11045,1,2060,17,1,36,0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
11445,1,3460,10,1,36,0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
11445,1,5490,4,0,36,0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
11445,1,3245,11,1,36,0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
11445,1,8455,2,1,36,0,0,0.8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
11445,1,5490,4,1,36,0,0,0.8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
11055,1,321,187,1,37,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
11055,1,1052,43,1,37,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
11055,1,1375,32,1,37,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
11055,1,1765,19,1,37,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
11055,1,2840,12,1,37,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
11055,1,6490,4,0,37,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9675,1,801,69,1,37,1,0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
9675,1,513,123,0,37,1,0,0.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
9725,1,1089,41,1,37,1,0,0.8,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
9725,1,1590,24,1,37,1,0,0.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
9725,1,3355,11,1,37,1,0,0.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
9725,1,3465,10,0,37,1,0,0.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
9990,1,715,83,1,37,1,0,0.8,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
9990,1,1320,32,0,37,1,0,0.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
9860,1,682,85,1,37,1,0,0.8,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
9860,1,1605,27,1,37,1,0,0.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9860,1,1029,44,0,37,1,0,0.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
9960,1,450,142,1,37,1,1,0.6,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
9960,1,816,63,1,37,1,1,0.6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
9960,1,1370,30,1,37,1,1,0.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
9960,1,1590,27,1,37,1,1,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
8360,2,523,123,1,37,1,1,0.8,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
8360,2,206,277,1,37,1,1,0.8,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
8360,2,981,47,1,37,1,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
8360,2,2370,15,1,37,1,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
8360,2,1620,25,1,37,1,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
8360,2,8130,3,0,37,1,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7460,2,424,138,1,37,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
7460,2,1635,28,0,37,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5560,4,1215,43,1,37,1,0,0.8,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
5560,4,1552,30,1,37,1,0,0.6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
5560,4,853,61,1,37,1,0,0.6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
5560,4,822,65,1,37,1,0,0.6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
5560,4,4060,7,1,37,1,0,0.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
5560,4,11010,1,0,37,1,0,0.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
3910,7,746,73,1,37,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3910,7,1005,55,1,38,1,0,0.8,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3910,7,176,293,0,38,1,0,0.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3900,7,566,107,1,38,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3900,7,481,125,1,38,1,1,0.6,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3900,7,1805,25,1,38,1,1,0.6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3900,7,1660,29,1,38,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3900,7,7010,3,1,38,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3900,7,1430,35,0,38,1,0,0.8,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3900,7,710,85,0,38,1,0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
3860,5,752,86,1,38,1,0,0.8,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
3860,5,870,65,1,38,1,0,0.6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
3860,5,2650,16,1,38,1,0,0.6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
3860,5,1860,25,1,38,1,0,0.6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
3860,5,2745,15,1,38,1,0,0.6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3860,5,1042,54,0,38,1,0,0.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
4510,5,1575,32,0,38,1,0,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
4120,5,1240,44,0,38,1,0,0.8,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
4080,6,443,134,1,38,1,0,0.6,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
4080,6,1365,39,1,38,1,0,0.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4080,6,657,90,1,38,1,0,0.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4080,6,1665,31,1,38,1,0,0.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4230,6,617,98,1,38,1,1,0.6,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4230,6,812,73,1,38,1,1,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
4230,6,374,153,1,38,1,1,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4230,6,762,81,1,38,1,1,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4230,6,7285,3,1,38,1,1,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4230,6,10380,1,0,38,1,1,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4630,6,1311,41,1,38,1,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4630,6,375,154,1,38,1,1,0.8,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4630,6,1106,49,1,38,1,0,0.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
4630,6,3085,11,1,38,1,1,0.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4630,6,2035,24,1,38,1,1,0.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4630,6,10430,1,0,38,1,1,0.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4130,7,1000,50,1,38,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
4130,7,421,145,1,38,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4130,7,1297,35,1,38,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4130,7,428,144,1,38,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
4130,7,5575,4,1,38,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4130,7,9590,2,0,38,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4830,5,664,94,1,38,1,0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
4830,5,394,150,1,38,1,0,0.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
4830,5,1138,41,1,38,1,0,0.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
4830,5,1129,44,1,38,1,0,0.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
4830,5,263,204,0,38,1,0,0.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4580,5,696,89,1,38,0,0,0.8,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4580,5,1120,47,1,38,0,0,0.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4580,5,518,117,1,38,0,0,0.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4580,5,3685,9,1,38,0,0,0.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4780,4,768,71,1,39,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
4780,4,436,141,1,39,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4780,4,759,75,1,39,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4780,4,11500,2,1,39,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4780,4,12050,1,0,39,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5280,3,895,57,1,39,1,0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
5280,3,771,72,1,39,1,0,0.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
5280,3,2510,14,0,39,1,0,0.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
4700,4,740,79,0,39,1,0,0.8,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
4460,4,710,83,1,39,1,1,0.6,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4460,4,773,74,1,39,1,1,0.4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
4460,4,1435,30,0,39,1,1,0.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
3760,8,634,102,1,39,1,1,0.6,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3760,8,700,87,1,39,1,1,0.4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3760,8,1683,28,1,39,1,1,0.6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3760,8,458,132,1,39,1,1,0.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3760,8,4390,4,1,39,1,1,0.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3760,8,13450,1,0,39,1,1,0.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
